sFileNumber,vOffice,vCoverageType,vState,vProduct,vTransaction,nLoanAmount,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oNumDays
17-505205,2,3863,CA,LCP - Title Only,Refinance,25000.00,1.00,29.00,523.00,4.00,9.00,16.00
17-505206,2,3863,CA,Title Only,Refinance,51000.00,0.00,49.00,694.00,0.00,9.00,45.00
2301-202606,1,3863,CA,Title and Escrow,Reverse Mortgage,625500.00,0.00,52.00,620.00,15.00,10.00,45.00
17-505207,2,3863,CA,Title Only,Refinance,35000.00,0.00,33.00,442.00,0.00,8.00,45.00
17-505208,2,3863,CA,Title Only,Refinance,125000.00,0.00,81.00,830.00,0.00,11.00,45.00
17-505209,2,3863,CA,Title Only,Refinance,475180.00,2.00,32.00,479.00,23.00,6.00,45.00
17-505210,2,3860,GA,Title Only,Refinance,117216.00,1.00,59.00,855.00,22.00,25.00,64.00
17-505211,2,3863,FL,Title Only,Refinance,99280.00,1.00,53.00,842.00,31.00,29.00,51.00
2301-202608,1,3860,CO,Title and Escrow,Reverse Mortgage,285948.00,2.00,71.00,1336.00,24.00,41.00,32.00
17-505212,2,3860,NC,Title & Sub-Escrow,Refinance,53707.00,1.00,62.00,933.00,22.00,26.00,80.00
17-505213,2,3863,CA,LCP - Title Only,Refinance,40000.00,1.00,30.00,517.00,4.00,11.00,25.00
17-505217,2,3863,FL,Title Only,Refinance,109406.00,3.00,59.00,895.00,37.00,23.00,67.00
2301-202609,1,3860,IL,Title and Escrow,Reverse Mortgage,50760.27,0.00,63.00,1238.00,18.00,33.00,15.00
17-505218,2,3863,CA,LCP - Title Only,Refinance,80000.00,2.00,27.00,400.00,6.00,5.00,45.00
17-505219,2,3863,FL,Title Only,Refinance,162054.00,1.00,82.00,1154.00,32.00,31.00,77.00
2301-202610,1,3860,GA,Title and Escrow,Reverse Mortgage,55224.00,3.00,99.00,1655.00,22.00,68.00,73.00
2301-202611,1,3860,NH,Title and Escrow,Reverse Mortgage,136250.00,0.00,84.00,1518.00,20.00,54.00,56.00
2301-202612,1,3860,MS,Title Only,Reverse Mortgage,22892.00,0.00,126.00,1614.00,20.00,50.00,84.00
17-505220,2,3863,CA,Title Only,Refinance,49400.00,0.00,25.00,265.00,0.00,7.00,45.00
2301-202615,1,3863,CA,Title and Escrow,Reverse Mortgage,114624.00,2.00,58.00,1086.00,19.00,31.00,32.00
17-505221,2,3863,CA,LCP - Title Only,Refinance,35000.00,1.00,30.00,568.00,4.00,12.00,30.00
17-505223,2,3863,CA,Title & Full Escrow,Refinance,142000.00,2.00,62.00,961.00,22.00,20.00,56.00
17-505225,2,3863,CA,Title & Full Escrow,Refinance,132000.00,1.00,70.00,1040.00,22.00,25.00,57.00
17-505226,2,3863,CA,Title & Full Escrow,Refinance,246400.00,2.00,58.00,843.00,19.00,16.00,44.00
17-505229,2,3863,CA,Title & Full Escrow,Refinance,254000.00,1.00,54.00,866.00,17.00,11.00,25.00
17-505230,2,3863,FL,Title & Full Escrow,Refinance,173000.00,1.00,70.00,1173.00,30.00,19.00,53.00
2301-202618,1,3863,CA,Title and Escrow,Reverse Mortgage,388435.50,0.00,78.00,1589.00,16.00,70.00,44.00
17-505231,2,3863,CA,Title Only,Refinance,169000.00,1.00,41.00,701.00,21.00,14.00,32.00
17-505232,2,3863,CA,LCP - Title Only,Refinance,100000.00,1.00,31.00,595.00,5.00,11.00,25.00
17-505233,2,3863,FL,Title & Full Escrow,Refinance,101250.00,1.00,79.00,1033.00,30.00,19.00,52.00
2301-202620,1,3863,FL,Title and Escrow,Reverse Mortgage,117000.00,1.00,53.00,536.00,28.00,19.00,45.00
2301-202621,1,3863,FL,Title and Escrow,Reverse Mortgage,51646.00,0.00,70.00,1017.00,26.00,32.00,24.00
2301-202622,1,3863,CA,Title and Escrow,Reverse Mortgage,300000.00,1.00,45.00,453.00,17.00,10.00,45.00
17-505236,2,3863,CA,LCP - Title Only,Refinance,90739.00,1.00,35.00,662.00,4.00,17.00,49.00
2301-202624,1,3863,AZ,Title and Escrow,Reverse Mortgage,103525.00,0.00,91.00,1554.00,16.00,54.00,22.00
17-505238,2,3863,FL,Title & Sub-Escrow,Refinance,390000.00,2.00,76.00,1203.00,37.00,32.00,52.00
2301-202626,1,3863,CA,Title and Escrow,Reverse Mortgage,72500.00,0.00,72.00,1139.00,15.00,44.00,44.00
17-505239,2,3863,CA,LCP - Title Only,Refinance,60000.00,1.00,36.00,583.00,4.00,10.00,15.00
17-505240,2,3863,CA,LCP - Title Only,Refinance,60000.00,1.00,34.00,648.00,4.00,9.00,29.00
17-505241,2,3863,CA,Title Only,Refinance,390000.00,1.00,45.00,791.00,18.00,26.00,29.00
17-505242,2,3860,UT,Title & Sub-Escrow,Refinance,247965.00,1.00,53.00,712.00,22.00,19.00,45.00
17-505243,2,3860,TN,Title Only,Refinance,85000.00,1.00,34.00,442.00,24.00,11.00,45.00
2301-202629,1,3860,IN,Title and Escrow,Reverse Mortgage,42435.00,1.00,90.00,1795.00,23.00,52.00,30.00
2301-202630,1,3863,CA,Title and Escrow,Reverse Mortgage,243257.00,0.00,74.00,1251.00,16.00,39.00,29.00
17-505246,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),100000.00,1.00,20.00,311.00,11.00,4.00,122.00
17-505247,2,3860,UT,Title & Sub-Escrow,Refinance,417000.00,2.00,29.00,464.00,24.00,6.00,45.00
17-505248,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),100000.00,1.00,20.00,286.00,6.00,3.00,122.00
17-505249,2,3860,UT,Title & Sub-Escrow,Refinance,46300.00,1.00,92.00,1385.00,24.00,47.00,34.00
2301-202632,1,3863,CA,Title and Escrow,Reverse Mortgage,129948.00,1.00,76.00,1283.00,18.00,45.00,22.00
2301-202633,1,3863,CA,Title and Escrow,Reverse Mortgage,339730.00,2.00,69.00,1468.00,19.00,64.00,34.00
17-505251,2,3860,KY,Title Only,Refinance,114379.00,1.00,56.00,889.00,22.00,35.00,98.00
17-505253,2,3863,CA,Title Only,Refinance,250000.00,1.00,37.00,668.00,18.00,17.00,17.00
17-505254,2,3860,ID,Property Report / O&E - Title Only,Uninsured (Info Products),36200.00,1.00,37.00,573.00,4.00,12.00,44.00
17-505255,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),50000.00,1.00,37.00,538.00,4.00,10.00,43.00
17-505256,2,3863,CA,Property Report / O&E & Full Escrow,Uninsured (Info Products),69000.00,1.00,62.00,880.00,6.00,27.00,42.00
17-505257,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),42900.00,1.00,24.00,304.00,4.00,6.00,104.00
17-505258,2,3863,CA,Title & Full Escrow,Refinance,146000.00,3.00,56.00,962.00,21.00,14.00,38.00
17-505259,2,3863,CA,Title Only,Refinance,100000.00,0.00,52.00,909.00,18.00,26.00,27.00
17-505260,2,3860,GA,Property Report / O&E & Full Escrow,Uninsured (Info Products),430000.00,1.00,71.00,883.00,3.00,23.00,45.00
2301-202635,1,3860,MD,Title and Escrow,Reverse Mortgage,89550.00,0.00,87.00,1252.00,20.00,46.00,22.00
17-505262,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),33450.00,1.00,24.00,289.00,3.00,4.00,104.00
17-505263,2,3863,CA,Title Only,Refinance,150000.00,0.00,23.00,361.00,18.00,4.00,45.00
17-505266,2,3863,FL,Title & Full Escrow,Refinance,147000.00,0.00,45.00,290.00,1.00,6.00,45.00
17-505267,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),400000.00,1.00,32.00,573.00,6.00,8.00,34.00
17-505268,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),250000.00,1.00,32.00,541.00,6.00,9.00,48.00
17-505269,2,3863,CA,LCP - Title Only,Refinance,14800.00,1.00,35.00,616.00,4.00,11.00,23.00
17-505270,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),80000.00,1.00,36.00,560.00,3.00,11.00,56.00
2301-202637,1,3860,OH,Title and Escrow,Reverse Mortgage,68875.00,1.00,80.00,1671.00,21.00,52.00,49.00
17-505271,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),50000.00,1.00,24.00,291.00,4.00,4.00,104.00
2301-202638,1,3860,PA,Title and Escrow,Reverse Mortgage,50000.00,4.00,59.00,953.00,25.00,16.00,45.00
17-505272,2,3863,CA,Title Only,Refinance,250000.00,1.00,44.00,812.00,19.00,20.00,70.00
17-505273,2,3860,CA,Title Only,Refinance,150000.00,1.00,28.00,614.00,19.00,12.00,24.00
17-505274,2,3860,ID,Property Report / O&E - Title Only,Uninsured (Info Products),20000.00,1.00,38.00,546.00,4.00,11.00,36.00
17-505276,2,3860,CO,Property Report / O&E - Title Only,Uninsured (Info Products),27400.00,0.00,24.00,292.00,3.00,3.00,122.00
2301-202639,1,3860,OH,Title and Escrow,Reverse Mortgage,61374.00,0.00,93.00,1589.00,21.00,48.00,27.00
17-505277,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),11000.00,1.00,35.00,560.00,3.00,12.00,38.00
17-505279,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),150000.00,2.00,37.00,570.00,4.00,11.00,35.00
17-505280,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),191600.00,2.00,32.00,579.00,9.00,12.00,29.00
17-505281,2,3860,CO,Property Report / O&E - Title Only,Uninsured (Info Products),25000.00,2.00,35.00,567.00,5.00,16.00,38.00
17-505282,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),250000.00,2.00,36.00,538.00,8.00,11.00,22.00
17-505283,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),56000.00,1.00,24.00,333.00,3.00,4.00,104.00
17-505284,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),20000.00,1.00,43.00,603.00,3.00,11.00,57.00
2301-202641,1,3863,CA,Title and Escrow,Reverse Mortgage,58740.00,0.00,72.00,1199.00,16.00,39.00,22.00
2301-202642,1,3863,FL,Title and Escrow,Reverse Mortgage,297330.00,2.00,100.00,1692.00,32.00,53.00,143.00
17-505286,2,3863,CA,LCP & Sub-Escrow,Refinance,100000.00,0.00,38.00,625.00,5.00,15.00,16.00
17-505287,2,3863,CA,LCP - Title Only,Refinance,100.00,1.00,30.00,509.00,7.00,3.00,147.00
2301-202643,1,3863,FL,Title and Escrow,Reverse Mortgage,120000.00,0.00,91.00,1411.00,26.00,51.00,23.00
17-505289,2,3860,KS,Title Only,Refinance,72885.00,1.00,43.00,778.00,21.00,20.00,49.00
17-505290,2,3863,CA,Title & Full Escrow,Refinance,50000.00,1.00,57.00,970.00,19.00,14.00,63.00
17-505292,2,3863,CA,Title Only,Refinance,201000.00,1.00,43.00,699.00,19.00,19.00,69.00
2301-202646,1,3863,CA,Title and Escrow,Reverse Mortgage,341523.00,0.00,84.00,1140.00,16.00,40.00,29.00
17-505293,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),11100.00,1.00,26.00,433.00,6.00,7.00,13.00
2301-202647,1,3860,IN,Title and Escrow,Reverse Mortgage,135360.00,1.00,93.00,1767.00,27.00,62.00,73.00
2301-202648,1,3860,CO,Title Only,Reverse Mortgage,40079.40,1.00,99.00,1536.00,22.00,42.00,78.00
17-505294,2,3863,CA,LCP - Title Only,Refinance,65000.00,1.00,34.00,609.00,4.00,9.00,30.00
17-505295,2,3863,CA,Title & Sub-Escrow,Refinance,226300.00,1.00,39.00,543.00,18.00,17.00,45.00
2301-202649,1,3863,CA,Title and Escrow,Reverse Mortgage,298644.00,1.00,72.00,1310.00,17.00,49.00,48.00
17-505298,2,3863,FL,Title Only,Refinance,97344.00,2.00,65.00,974.00,34.00,25.00,83.00
2301-202651,1,3860,NJ,Title and Escrow,Reverse Mortgage,116415.00,0.00,81.00,1356.00,10.00,52.00,55.00
17-505299,2,3863,CA,LCP - Title Only,Refinance,20000.00,0.00,20.00,222.00,0.00,3.00,45.00
17-505301,2,3863,CA,LCP - Title Only,Refinance,100.00,6.00,30.00,501.00,16.00,3.00,147.00
2301-202654,1,3863,CA,Title and Escrow,Reverse Mortgage,364695.00,1.00,66.00,1060.00,19.00,28.00,22.00
17-505302,2,3863,CA,LCP & Sub-Escrow,Refinance,50000.00,2.00,49.00,715.00,5.00,15.00,64.00
17-505303,2,3863,CA,Title & Full Escrow,Refinance,133000.00,1.00,68.00,1295.00,18.00,39.00,58.00
2301-202655,1,3863,CA,Title and Escrow,Reverse Mortgage,230000.00,3.00,62.00,901.00,20.00,39.00,45.00
17-505304,2,3863,CA,Title Only,Refinance,85000.00,0.00,24.00,378.00,1.00,17.00,45.00
17-505305,2,3863,CA,LCP - Title Only,Refinance,50000.00,1.00,39.00,610.00,4.00,9.00,23.00
17-505306,2,3863,CA,Title & Full Escrow,Refinance,350000.00,1.00,49.00,431.00,21.00,6.00,45.00
17-505307,2,3863,CA,LCP - Title Only,Refinance,220000.00,2.00,29.00,533.00,6.00,16.00,29.00
2301-202656,1,3860,MS,Title and Escrow,Reverse Mortgage,79000.00,1.00,52.00,550.00,20.00,12.00,45.00
17-505308,2,3863,NV,Title & Sub-Escrow,Refinance,208000.00,1.00,51.00,767.00,20.00,22.00,38.00
17-505309,2,3863,NV,Title & Sub-Escrow,Refinance,175000.00,0.00,62.00,892.00,21.00,26.00,55.00
17-505310,2,3863,CA,LCP - Title Only,Refinance,250000.00,2.00,33.00,577.00,6.00,16.00,50.00
17-505314,2,3863,CA,Title & Full Escrow,Refinance,77600.00,1.00,58.00,936.00,20.00,15.00,52.00
17-505316,2,3863,CA,Title & Full Escrow,Refinance,140114.00,1.00,56.00,865.00,17.00,15.00,24.00
17-505318,2,3863,CA,LCP - Title Only,Refinance,13100.00,0.00,37.00,604.00,4.00,14.00,42.00
17-505319,2,3860,CA,Title Only,Refinance,185000.00,3.00,25.00,382.00,21.00,8.00,45.00
17-505320,2,3863,CA,Title Only,Refinance,286000.00,1.00,106.00,1476.00,22.00,56.00,91.00
17-505321,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),64000.00,1.00,20.00,277.00,6.00,3.00,122.00
17-505322,2,3863,CA,LCP - Title Only,Refinance,100.00,0.00,30.00,474.00,5.00,3.00,147.00
17-505323,2,3860,CA,Property Report / O&E - Title Only,Uninsured (Info Products),100000.00,1.00,30.00,466.00,9.00,10.00,14.00
17-505324,2,3863,CA,Title Only,Refinance,240000.00,2.00,45.00,833.00,19.00,25.00,38.00
2301-202658,1,3863,CA,Title and Escrow,Reverse Mortgage,580000.00,2.00,79.00,1388.00,18.00,50.00,49.00
17-505326,2,3863,CA,LCP - Title Only,Refinance,50000.00,1.00,34.00,599.00,4.00,8.00,36.00
17-505327,2,3863,CA,LCP - Title Only,Refinance,75000.00,2.00,24.00,346.00,6.00,4.00,45.00
2301-202662,1,3863,FL,Title and Escrow,Reverse Mortgage,125580.00,1.00,77.00,1254.00,28.00,32.00,23.00
17-505328,2,3863,CA,LCP & Sub-Escrow,Refinance,20000.00,2.00,49.00,835.00,5.00,20.00,48.00
17-505329,2,3863,CA,LCP - Title Only,Refinance,50000.00,1.00,29.00,507.00,4.00,13.00,24.00
2301-202664,1,3860,IN,Title and Escrow,Reverse Mortgage,89000.00,7.00,55.00,815.00,30.00,18.00,45.00
17-505330,2,3860,MI,Title Only,Refinance,120000.00,1.00,72.00,1066.00,23.00,38.00,50.00
17-505331,2,3863,CA,Title Only,Refinance,326428.00,1.00,37.00,673.00,18.00,17.00,50.00
17-505332,2,3863,CA,Title & Sub-Escrow,Refinance,731250.00,0.00,26.00,307.00,0.00,5.00,45.00
17-505333,2,3863,CA,Title Only,Refinance,207900.00,1.00,41.00,750.00,19.00,18.00,33.00
17-505335,2,3860,AL,Title Only,Refinance,124417.00,1.00,48.00,826.00,23.00,24.00,55.00
17-505338,2,3860,KY,Title Only,Refinance,44636.00,1.00,56.00,926.00,19.00,26.00,65.00
2301-202665,1,3860,LA,Title and Escrow,Reverse Mortgage,46835.00,0.00,100.00,1656.00,18.00,57.00,44.00
17-505342,2,3860,KY,Title Only,Refinance,95939.00,1.00,58.00,887.00,22.00,36.00,141.00
2301-202667,1,3863,CA,Title and Escrow,Reverse Mortgage,266630.00,1.00,55.00,875.00,16.00,23.00,28.00
17-505343,2,3863,CA,Title & Sub-Escrow,Refinance,284000.00,1.00,54.00,883.00,21.00,16.00,50.00
17-505344,2,3863,CA,Title & Sub-Escrow,Refinance,600000.00,1.00,28.00,376.00,18.00,5.00,45.00
17-505345,2,3863,CA,LCP - Title Only,Refinance,57800.00,1.00,35.00,582.00,4.00,11.00,22.00
17-505346,2,3863,CA,Title Only,Refinance,140000.00,2.00,47.00,801.00,19.00,15.00,35.00
17-505347,2,3863,CA,Title & Sub-Escrow,Refinance,740000.00,1.00,37.00,447.00,20.00,8.00,45.00
17-505348,2,3860,KY,Title Only,Refinance,208326.00,1.00,54.00,870.00,22.00,32.00,62.00
17-505349,2,3860,MS,Title Only,Refinance,150605.00,1.00,47.00,854.00,28.00,30.00,82.00
2301-202668,1,3860,WI,Title and Escrow,Reverse Mortgage,124118.00,1.00,75.00,1200.00,23.00,41.00,61.00
2301-202669,1,3863,FL,Title Only,Reverse Mortgage,63984.50,1.00,70.00,1210.00,31.00,31.00,55.00
17-505351,2,3863,CA,Title Only,Refinance,900000.00,1.00,55.00,937.00,20.00,22.00,70.00
17-505352,2,3863,CA,Title Only,Refinance,214567.00,1.00,61.00,842.00,18.00,32.00,40.00
17-505354,2,3863,CA,LCP - Title Only,Refinance,228000.00,1.00,34.00,582.00,4.00,11.00,26.00
17-505355,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),480000.00,2.00,33.00,605.00,8.00,10.00,69.00
17-505356,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),40000.00,1.00,34.00,559.00,4.00,10.00,33.00
2301-202671,1,3860,AL,Title Only,Reverse Mortgage,43881.95,0.00,76.00,1245.00,22.00,31.00,44.00
17-505357,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),50000.00,2.00,41.00,661.00,5.00,15.00,65.00
17-505358,2,3863,CA,Title Only,Refinance,36800.00,1.00,51.00,765.00,19.00,8.00,28.00
17-505359,2,3863,CA,LCP - Title Only,Refinance,35000.00,1.00,35.00,600.00,4.00,12.00,29.00
17-505360,2,3863,CA,Title & Sub-Escrow,Refinance,281000.00,1.00,57.00,989.00,18.00,20.00,28.00
17-505361,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),150000.00,1.00,21.00,290.00,6.00,3.00,121.00
2301-202673,1,3863,CA,Title and Escrow,Reverse Mortgage,258450.00,1.00,76.00,1257.00,19.00,36.00,37.00
17-505362,2,3863,CA,Title Only,Refinance,355000.00,1.00,47.00,776.00,18.00,20.00,49.00
17-505363,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),20300.00,1.00,38.00,565.00,3.00,10.00,34.00
17-505364,2,3863,CA,LCP - Title Only,Refinance,30000.00,1.00,35.00,657.00,4.00,13.00,16.00
17-505365,2,3863,CA,Title Only,Refinance,100000.00,1.00,32.00,658.00,17.00,11.00,35.00
17-505366,2,3863,CA,LCP - Title Only,Refinance,50000.00,1.00,36.00,733.00,7.00,20.00,28.00
17-505367,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),0.00,1.00,26.00,440.00,6.00,8.00,15.00
17-505368,2,3863,CA,Property Report / O&E & Full Escrow,Uninsured (Info Products),250000.00,2.00,62.00,743.00,7.00,17.00,41.00
17-505369,2,3863,CA,LCP - Title Only,Refinance,30000.00,1.00,35.00,598.00,4.00,8.00,29.00
17-505370,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),116150.00,1.00,38.00,551.00,4.00,10.00,99.00
17-505371,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),30000.00,1.00,24.00,285.00,3.00,4.00,103.00
17-505372,2,3863,CA,LCP - Title Only,Refinance,22000.00,1.00,29.00,599.00,4.00,12.00,49.00
17-505373,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),35050.00,1.00,42.00,678.00,4.00,10.00,113.00
17-505374,2,3863,CA,LCP - Title Only,Refinance,35000.00,1.00,35.00,627.00,4.00,11.00,22.00
17-505375,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),24500.00,1.00,21.00,292.00,6.00,3.00,121.00
17-505377,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),58800.00,1.00,37.00,559.00,3.00,10.00,34.00
17-505378,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),145150.00,1.00,31.00,571.00,6.00,14.00,30.00
17-505379,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),70900.00,1.00,37.00,558.00,3.00,10.00,33.00
17-505380,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),125000.00,2.00,32.00,562.00,7.00,8.00,28.00
17-505381,2,3863,CA,Title & Sub-Escrow,Refinance,117000.00,1.00,28.00,369.00,18.00,4.00,45.00
17-505382,2,3860,MN,Title Only,Refinance,183246.00,1.00,38.00,472.00,23.00,10.00,45.00
17-505383,2,3860,ID,Property Report / O&E - Title Only,Uninsured (Info Products),34000.00,1.00,37.00,558.00,5.00,13.00,34.00
17-505384,2,3863,CA,Title & Sub-Escrow,Refinance,190397.00,1.00,100.00,1461.00,23.00,46.00,65.00
2301-202676,1,3860,MO,Title and Escrow,Reverse Mortgage,625500.00,0.00,43.00,353.00,2.00,8.00,45.00
17-505385,2,3860,GA,Property Report / O&E - Title Only,Uninsured (Info Products),35000.00,1.00,25.00,311.00,3.00,6.00,121.00
17-505386,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),21000.00,1.00,38.00,541.00,3.00,12.00,72.00
17-505387,2,3863,CA,Title Only,Refinance,241948.00,1.00,23.00,410.00,18.00,3.00,45.00
17-505388,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),10000.00,1.00,24.00,300.00,3.00,5.00,121.00
17-505389,2,3863,FL,Title Only,Refinance,1992123.00,1.00,60.00,1008.00,32.00,25.00,55.00
17-505390,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),30000.00,1.00,32.00,522.00,6.00,9.00,35.00
17-505391,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),60000.00,1.00,37.00,568.00,4.00,11.00,34.00
2301-202677,1,29189,WV,Title and Escrow,Reverse Mortgage,130000.00,0.00,51.00,596.00,1.00,27.00,45.00
17-505392,2,3863,CA,LCP - Title Only,Refinance,35000.00,1.00,38.00,590.00,4.00,8.00,29.00
17-505393,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),80000.00,1.00,33.00,526.00,6.00,15.00,15.00
17-505394,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),216000.00,1.00,20.00,284.00,10.00,3.00,121.00
17-505395,2,3860,UT,Title Only,Refinance,180000.00,1.00,27.00,467.00,23.00,9.00,45.00
17-505396,2,3860,CO,Title Only,Refinance,350000.00,0.00,25.00,280.00,0.00,6.00,45.00
2301-202679,1,3860,GA,Title and Escrow,Reverse Mortgage,212450.00,1.00,76.00,1213.00,19.00,41.00,40.00
17-505397,2,3860,UT,Title Only,Refinance,162596.00,2.00,44.00,744.00,24.00,22.00,76.00
17-505399,2,3863,CA,LCP - Title Only,Refinance,48470.00,1.00,34.00,655.00,6.00,17.00,37.00
2301-202680,1,3863,FL,Title and Escrow,Reverse Mortgage,59964.00,2.00,91.00,1463.00,30.00,34.00,112.00
2301-202681,1,3863,FL,Title and Escrow,Reverse Mortgage,300000.00,6.00,53.00,644.00,36.00,8.00,45.00
17-505400,2,3860,AL,Title Only,Refinance,174100.00,1.00,57.00,943.00,22.00,36.00,33.00
17-505401,2,3863,CA,Title & Sub-Escrow,Refinance,373000.00,1.00,43.00,933.00,19.00,21.00,29.00
17-505402,2,3863,FL,Title Only,Refinance,305017.00,1.00,65.00,917.00,30.00,30.00,49.00
17-505403,2,3863,CA,Title Only,Refinance,472000.00,2.00,42.00,722.00,19.00,16.00,71.00
17-505404,2,3863,CA,LCP - Title Only,Refinance,50000.00,1.00,29.00,497.00,4.00,14.00,51.00
17-505405,2,3863,CA,Title & Full Escrow,Refinance,235000.00,1.00,89.00,1059.00,19.00,23.00,35.00
2301-202683,1,3860,MS,Title and Escrow,Reverse Mortgage,200000.00,1.00,45.00,462.00,20.00,10.00,45.00
17-505406,2,3863,CA,LCP & Sub-Escrow,Refinance,56600.00,3.00,55.00,884.00,6.00,16.00,37.00
17-505409,2,3860,AL,Title Only,Refinance,85536.00,1.00,62.00,1097.00,23.00,32.00,62.00
17-505411,2,3860,AL,Title Only,Refinance,63400.00,1.00,27.00,499.00,23.00,11.00,45.00
2301-202684,1,3860,KY,Title and Escrow,Reverse Mortgage,20868.00,0.00,93.00,1299.00,18.00,37.00,54.00
17-505412,2,3863,CA,Title Only,Refinance,35000.00,3.00,55.00,973.00,18.00,26.00,105.00
17-505414,2,3860,OH,Title Only,Refinance,139244.00,1.00,50.00,828.00,24.00,23.00,54.00
2301-202685,1,3860,GA,Title and Escrow,Reverse Mortgage,290000.00,1.00,72.00,997.00,22.00,29.00,45.00
17-505415,2,3863,CA,Title & Sub-Escrow,Refinance,49500.00,2.00,35.00,461.00,21.00,6.00,45.00
2301-202686,1,3863,CA,Title and Escrow,Reverse Mortgage,379375.00,0.00,90.00,1630.00,19.00,42.00,54.00
2301-202687,1,3860,MS,Title and Escrow,Reverse Mortgage,164080.00,1.00,94.00,1487.00,18.00,45.00,49.00
17-505417,2,3863,CA,Title & Full Escrow,Refinance,85000.00,2.00,70.00,1163.00,20.00,24.00,30.00
2301-202688,1,3863,FL,Title and Escrow,Reverse Mortgage,87615.00,0.00,65.00,1137.00,29.00,27.00,21.00
2301-202689,1,29189,DE,Title and Escrow,Reverse Mortgage,104876.00,0.00,58.00,1381.00,1.00,40.00,29.00
2301-202691,1,3863,AZ,Title and Escrow,Reverse Mortgage,145542.00,1.00,82.00,1395.00,18.00,45.00,34.00
17-505418,2,3860,IA,Property Report / O&E - Title Only,Uninsured (Info Products),1.00,0.00,22.00,313.00,0.00,8.00,45.00
17-505419,2,3863,CA,Title & Full Escrow,Refinance,660700.00,2.00,56.00,894.00,23.00,20.00,49.00
17-505421,2,3863,NV,Title & Full Escrow,Refinance,239000.00,1.00,57.00,1069.00,18.00,16.00,23.00
17-505422,2,3863,CA,Title Only,Refinance,199500.00,1.00,34.00,564.00,18.00,16.00,42.00
2301-202693,1,3860,IN,Title and Escrow,Reverse Mortgage,121590.00,2.00,123.00,1511.00,23.00,47.00,37.00
17-505423,2,3863,CA,Legal & Vesting - Title Only,Uninsured (Info Products),31760.46,0.00,28.00,438.00,0.00,6.00,23.00
17-505424,2,3863,CA,LCP & Sub-Escrow,Refinance,75000.00,0.00,24.00,225.00,0.00,3.00,45.00
17-505425,2,3863,CA,Title Only,Refinance,297700.00,2.00,43.00,759.00,22.00,27.00,70.00
17-505426,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),50000.00,2.00,26.00,426.00,7.00,8.00,28.00
2301-202696,1,3863,NV,Title and Escrow,Reverse Mortgage,130767.00,0.00,69.00,1272.00,19.00,34.00,30.00
2301-202697,1,3860,VA,Title and Escrow,Reverse Mortgage,305000.00,1.00,60.00,498.00,19.00,15.00,45.00
2301-202701,1,3863,NV,Title and Escrow,Reverse Mortgage,154000.00,2.00,55.00,853.00,23.00,24.00,45.00
17-505427,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),75000.00,1.00,26.00,489.00,7.00,7.00,29.00
