"vCoverageType(p0)","vCoverageType(p1)","vCoverageType(p2)","vTransaction(p0)","vTransaction(p1)","vTransaction(p2)","vTransaction(p3)","vTransaction(p4)","nLoanAmount","nLiens","nAuditEntries","nTotalNotes","oCancelled","oNumDays"
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.5,0.5,1,0.0323581135091926,0.1,0.0105180576628046,0.00834542815384615,0,0.208661417322835
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.1,0,0.00634150783869449,0.00384615384615385,1,0.177165354330709
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0152677857713829,0.05,0.0150476161481558,0.00530503978846154,0,0.114173228346457
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.5,0.5,1,0.00460431654676259,0.1,0.0135507980208599,0.0106100795769231,0,0.114173228346457
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0159872102318145,0,0.00972424438853984,0.00870827286538462,0,0.208661417322835
0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0522302158273381,0.05,0.0386465455646352,0.0282805429807692,0,0.133858267716535
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0103916866506795,0.1,0.0314512076272259,0.0199430199423077,0,0.106299212598425
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.00562749800159872,0.1,0.0127808263998662,0.0118881118846154,0,0.216535433070866
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.5,0.5,1,0.00399680255795364,0.05,0.0139768154849314,0.00824175825,0,0.110236220472441
0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0575,0.05,0.0141437682760786,0.0127262443461538,0,0.267716535433071
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.00182190247801759,0.1,0.0269196318646555,0.0320512820576923,0,0.165354330708661
0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.5,0.5,1,0.0159872102318145,0.05,0.0137621618972677,0.0054945055,0,0.110236220472441
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.5,0.5,1,0.0119904076738609,0.05,0.00881412148227943,0.00641025640384615,0,0.153543307086614
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.00559552358113509,0.05,0.00877395941233464,0.00454545453846154,0,0.216535433070866
0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.5,0.5,1,0.0159872102318145,0.05,0.0202155776783213,0.0151821862307692,0,0.0748031496062992
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.00799360511590727,0.05,0.00858238529838173,0.00854700853846154,1,0.177165354330709
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.00639488409272582,0.05,0.00888475535494337,0.00450721153846154,0,0.251968503937008
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.043554756195044,0.05,0.0137764721355549,0.00854700853846154,1,0.177165354330709
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.00720599520383693,0,0.00651959081146604,0.00551580201923077,0,0.507874015748031
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.00583533173461231,0.05,0.0155226746590045,0.0167378917307692,0,0.425196850393701
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0121502797761791,0.1,0.00718740197605464,0.00470085469230769,1,0.177165354330709
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0301886490807354,0.05,0.0145372998523491,0.0127060439615385,0,0.220472440944882
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0201486810551559,0.1,0.0120568583867392,0.00927197801923077,0,0.220472440944882
0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0249880095923261,0,0.0144776738583729,0.00865384615384615,0,0.236220472440945
0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0855315747402078,0.1,0.00887919026413117,0.00598290598076923,1,0.177165354330709
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0159872102318145,0.05,0.0075899831749444,0.00654664484615385,0,0.18503937007874
0.5,0.971404520791032,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.1,0,0.0028837300287839,0.000427350423076923,1,0.177165354330709
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0294324540367706,0.05,0.030989304902826,0.0360576923076923,0,0.15748031496063
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.00447641886490807,0.05,0.00553862526141543,0.00554106909615385,0,0.232283464566929
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0191846522781775,0,0.0114613934294217,0.00811965811538462,1,0.177165354330709
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0236131095123901,0.05,0.0167911625328356,0.0119047619038462,0,0.165354330708661
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0298960831334932,0.05,0.00727644346911853,0.00341880342307692,1,0.177165354330709
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0666666666666667,0.05,0.0119733819911656,0.00915750915384615,0,0.165354330708661
0.5,0.971404520791032,0.333333333333333,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.0495603517186251,0,0.0122864184745666,0.00300480769230769,0,0.125984251968504
0.091751709536137,0.264297739604484,0.333333333333333,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.0115223021582734,0.05,0.0121564915051138,0.00899503721153846,0,0.244094488188976
