sFileNumber,vOffice,vCoverageType,vState,vProduct,vTransaction,nLoanAmount,nLienAmounts,nEquity,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
17-513409,2,3863,CA,Title Only,Refinance,49900.0000000,0.0000000,49900.0000000,0.0000000,30.0000000,54.416666666666700,17.0000000,0.916666666666667,0.0000000,12.0000000
2301-207194,1,3863,CA,Title and Escrow,Reverse Mortgage,151580.0000000,0.0000000,151580.0000000,0.0000000,75.0000000,52.360000000000000,17.0000000,1.440000000000000,0.0000000,25.0000000
2301-207196,1,3860,CO,Title and Escrow,Reverse Mortgage,332000.0000000,166000.0000000,166000.0000000,1.0000000,50.0000000,11.755555555555600,20.0000000,0.244444444444444,1.0000000,45.0000000
17-513412,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),56000.0000000,179684.0000000,-123684.0000000,1.0000000,37.0000000,16.562500000000000,4.0000000,0.281250000000000,0.0000000,32.0000000
17-513413,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),20000.0000000,310000.0000000,-290000.0000000,1.0000000,36.0000000,24.095238095238100,4.0000000,0.428571428571429,0.0000000,21.0000000
17-513414,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),10000.0000000,312787.0000000,-302787.0000000,1.0000000,24.0000000,6.111111111111110,4.0000000,0.111111111111111,1.0000000,45.0000000
17-513415,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),45500.0000000,550500.0000000,-505000.0000000,2.0000000,39.0000000,21.208333333333300,5.0000000,0.458333333333333,0.0000000,24.0000000
2301-207199,1,3863,CA,Title and Escrow,Reverse Mortgage,323150.0000000,117500.0000000,205650.0000000,1.0000000,64.0000000,46.320000000000000,16.0000000,1.560000000000000,0.0000000,25.0000000
17-513418,2,3863,CA,LCP - Title Only,Refinance,30000.0000000,0.0000000,30000.0000000,0.0000000,51.0000000,34.714285714285700,4.0000000,0.666666666666667,0.0000000,21.0000000
17-513420,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),25000.0000000,152000.0000000,-127000.0000000,1.0000000,37.0000000,12.214285714285700,4.0000000,0.214285714285714,0.0000000,42.0000000
17-513421,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),105850.0000000,413850.0000000,-308000.0000000,1.0000000,40.0000000,23.541666666666700,4.0000000,0.541666666666667,0.0000000,24.0000000
17-513422,2,3860,CO,Property Report / O&E - Title Only,Uninsured (Info Products),15000.0000000,272000.0000000,-257000.0000000,1.0000000,37.0000000,15.656250000000000,5.0000000,0.250000000000000,0.0000000,32.0000000
2301-207202,1,3863,AZ,Title and Escrow,Reverse Mortgage,351531.0000000,100000.0000000,251531.0000000,1.0000000,89.0000000,32.974358974359000,23.0000000,1.384615384615380,0.0000000,39.0000000
17-513425,2,3860,WA,Property Report / O&E & Full Escrow,Uninsured (Info Products),74400.0000000,514000.0000000,-439600.0000000,2.0000000,67.0000000,20.142857142857100,7.0000000,0.457142857142857,0.0000000,35.0000000
17-513427,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),44150.0000000,376000.0000000,-331850.0000000,1.0000000,37.0000000,17.225806451612900,4.0000000,0.322580645161290,0.0000000,31.0000000
17-513429,2,3863,CA,LCP - Title Only,Refinance,45000.0000000,45000.0000000,0.0000000,1.0000000,39.0000000,33.000000000000000,4.0000000,0.722222222222222,0.0000000,18.0000000
17-513430,2,3863,CA,Title & Full Escrow,Refinance,187000.0000000,212143.0000000,-25143.0000000,1.0000000,56.0000000,30.125000000000000,17.0000000,0.458333333333333,0.0000000,24.0000000
17-513431,2,3863,CA,Title & Full Escrow,Refinance,120000.0000000,175227.0000000,-55227.0000000,2.0000000,55.0000000,24.696969696969700,20.0000000,0.636363636363636,0.0000000,33.0000000
17-513434,2,3863,AZ,Title & Full Escrow,Refinance,99000.0000000,101021.0000000,-2021.0000000,1.0000000,62.0000000,24.903225806451600,17.0000000,0.419354838709677,0.0000000,31.0000000
17-513436,2,3863,CA,Title & Full Escrow,Refinance,125000.0000000,100000.0000000,25000.0000000,1.0000000,60.0000000,43.250000000000000,17.0000000,0.600000000000000,0.0000000,20.0000000
17-513440,2,3863,CA,LCP - Title Only,Refinance,25000.0000000,219592.0000000,-194592.0000000,1.0000000,33.0000000,17.102564102564100,4.0000000,0.282051282051282,0.0000000,39.0000000
2301-207207,1,3863,CA,Title and Escrow,Reverse Mortgage,299520.0000000,558000.0000000,-258480.0000000,1.0000000,65.0000000,45.680000000000000,17.0000000,0.960000000000000,0.0000000,25.0000000
17-513450,2,3860,UT,Title & Sub-Escrow,Refinance,157585.0000000,159000.0000000,-1415.0000000,1.0000000,63.0000000,30.285714285714300,24.0000000,0.828571428571429,0.0000000,35.0000000
17-513451,2,3863,CA,Title & Full Escrow,Refinance,195000.0000000,175000.0000000,20000.0000000,2.0000000,60.0000000,41.666666666666700,20.0000000,0.541666666666667,0.0000000,24.0000000
2301-207208,1,3860,PA,Title and Escrow,Reverse Mortgage,94428.0000000,91000.0000000,3428.0000000,2.0000000,76.0000000,39.966666666666700,25.0000000,1.300000000000000,0.0000000,30.0000000
2301-207209,1,3863,CA,Title and Escrow,Reverse Mortgage,292120.0000000,577500.0000000,-285380.0000000,1.0000000,67.0000000,45.666666666666700,16.0000000,1.083333333333330,0.0000000,24.0000000
