sFileNumber,vCoverageType,vProduct,nLoanAmount,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
17-503002,3863,LCP - Title Only,75000.00,2.00,31.00,359.00,6.00,3.00,1.00,45.00
17-503003,3860,Title & Sub-Escrow,510276.00,0.00,42.00,633.00,1.00,9.00,1.00,45.00
17-503004,3860,Property Report / O&E - Title Only,250000.00,1.00,42.00,575.00,4.00,12.00,0.00,26.00
17-503005,3863,Stand Alone Modification,1.00,1.00,37.00,1034.00,22.00,23.00,0.00,172.00
2301-201499,3860,Title and Escrow,196000.00,0.00,116.00,1828.00,23.00,73.00,0.00,85.00
17-503006,3860,Property Report / O&E - Title Only,79850.00,1.00,42.00,587.00,5.00,11.00,0.00,41.00
17-503007,3860,Reverse Mortgage - Title Only,280000.00,1.00,54.00,727.00,22.00,19.00,1.00,45.00
17-503008,3860,Property Report / O&E - Title Only,45000.00,2.00,41.00,568.00,6.00,12.00,0.00,57.00
17-503009,3863,Property Report / O&E - Title Only,85000.00,1.00,40.00,561.00,6.00,9.00,0.00,25.00
17-503010,3863,Property Report / O&E & Full Escrow,100000.00,2.00,66.00,810.00,8.00,22.00,0.00,47.00
17-503014,3860,Property Report / O&E - Title Only,35550.00,1.00,42.00,614.00,6.00,14.00,0.00,42.00
2301-201500,3863,Title and Escrow,55182.00,0.00,102.00,1447.00,3.00,35.00,0.00,25.00
17-503015,3860,Property Report / O&E & Full Escrow,75000.00,2.00,64.00,787.00,6.00,21.00,0.00,40.00
17-503016,3860,Property Report / O&E - Title Only,122250.00,2.00,42.00,531.00,5.00,12.00,0.00,43.00
2301-201501,3860,Title and Escrow,84000.00,3.00,89.00,1658.00,25.00,69.00,0.00,46.00
17-503017,3863,Title & Sub-Escrow,242165.00,1.00,79.00,1000.00,19.00,23.00,0.00,60.00
17-503018,3863,Title & Sub-Escrow,346000.00,1.00,55.00,822.00,18.00,21.00,0.00,60.00
