sFileNumber,vCoverageType,vProduct,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
17-505614,3863,LCP - Title Only,2.00,24.00,358.00,5.00,5.00,1.00,45.00
17-505615,3863,Property Report / O&E - Title Only,1.00,20.00,307.00,12.00,3.00,0.00,119.00
17-505616,3863,Title & Full Escrow,3.00,93.00,1429.00,29.00,54.00,0.00,97.00
17-505617,3863,Title & Full Escrow,0.00,68.00,950.00,16.00,15.00,0.00,60.00
2301-202758,3860,Title and Escrow,0.00,54.00,1066.00,19.00,28.00,0.00,5.00
2301-202759,3860,Title and Escrow,0.00,80.00,1333.00,24.00,48.00,0.00,31.00
17-505618,3863,Title & Full Escrow,1.00,67.00,1069.00,19.00,17.00,0.00,41.00
17-505619,3863,Title Only,1.00,38.00,658.00,19.00,15.00,0.00,42.00
17-505620,3863,Title & Full Escrow,1.00,59.00,779.00,18.00,13.00,0.00,48.00
17-505621,3863,Title & Sub-Escrow,1.00,48.00,816.00,21.00,19.00,0.00,34.00
17-505623,3863,Title & Full Escrow,3.00,89.00,1399.00,23.00,32.00,0.00,34.00
17-505624,3863,Title Only,0.00,32.00,463.00,19.00,6.00,1.00,45.00
17-505627,3863,LCP - Title Only,1.00,33.00,574.00,4.00,7.00,0.00,24.00
2301-202760,3860,Title Only,1.00,51.00,819.00,20.00,14.00,0.00,27.00
17-505628,3863,LCP - Title Only,1.00,27.00,397.00,4.00,5.00,1.00,45.00
17-505629,3863,Property Report / O&E - Title Only,2.00,20.00,287.00,11.00,4.00,0.00,119.00
17-505630,3863,Title & Full Escrow,2.00,60.00,1080.00,20.00,20.00,0.00,98.00
2301-202761,3860,Title and Escrow,0.00,83.00,1408.00,19.00,43.00,0.00,35.00
17-505631,3860,Title & Sub-Escrow,1.00,59.00,842.00,23.00,26.00,0.00,38.00
17-505632,3863,Title Only,1.00,32.00,611.00,19.00,12.00,0.00,13.00
17-505633,3863,LCP - Title Only,1.00,27.00,412.00,4.00,5.00,1.00,45.00
17-505634,3863,Property Report / O&E - Title Only,1.00,26.00,442.00,6.00,8.00,0.00,21.00
17-505635,3863,Title & Full Escrow,0.00,66.00,1224.00,18.00,21.00,0.00,31.00
2301-202763,3863,Title and Escrow,1.00,67.00,708.00,17.00,19.00,1.00,45.00
2301-202764,3863,Title and Escrow,0.00,86.00,1301.00,17.00,49.00,0.00,21.00
2301-202765,3863,Title and Escrow,0.00,83.00,1393.00,18.00,37.00,0.00,40.00
2301-202766,3860,Title and Escrow,2.00,44.00,452.00,21.00,10.00,1.00,45.00
2301-202768,3863,Title and Escrow,2.00,70.00,1621.00,20.00,70.00,0.00,87.00
17-505637,3863,Title & Full Escrow,1.00,65.00,913.00,18.00,15.00,0.00,26.00
17-505638,3862,Title Only,2.00,51.00,901.00,19.00,27.00,0.00,39.00
17-505639,3863,LCP - Title Only,1.00,25.00,335.00,4.00,4.00,1.00,45.00
17-505640,3863,LCP - Title Only,1.00,30.00,552.00,4.00,13.00,0.00,28.00
17-505641,3863,LCP - Title Only,1.00,33.00,688.00,4.00,13.00,0.00,28.00
17-505642,3862,Title Only,2.00,40.00,735.00,19.00,18.00,0.00,41.00
2301-202770,3863,Title and Escrow,14.00,71.00,1894.00,31.00,67.00,0.00,144.00
17-505644,3860,Title & Full Escrow,1.00,63.00,1152.00,19.00,27.00,0.00,53.00
17-505646,3863,Title Only,3.00,23.00,359.00,20.00,4.00,1.00,45.00
17-505647,3863,Title & Full Escrow,1.00,56.00,1010.00,18.00,13.00,0.00,111.00
2301-202771,3863,Title Only,2.00,72.00,1265.00,28.00,35.00,0.00,39.00
17-505648,3862,Title & Full Escrow,1.00,71.00,1219.00,17.00,16.00,0.00,52.00
17-505649,3862,LCP & Full Escrow,1.00,39.00,246.00,1.00,7.00,1.00,45.00
17-505650,3863,Title & Full Escrow,0.00,37.00,209.00,2.00,2.00,1.00,45.00
17-505651,3863,Title & Sub-Escrow,1.00,49.00,951.00,18.00,14.00,0.00,32.00
17-505652,3863,LCP - Title Only,1.00,25.00,349.00,4.00,5.00,1.00,45.00
17-505653,3863,Title & Full Escrow,0.00,44.00,389.00,18.00,5.00,1.00,45.00
2301-202774,3860,Title and Escrow,1.00,78.00,1500.00,23.00,57.00,0.00,47.00
2301-202775,3860,Title and Escrow,1.00,73.00,1105.00,18.00,38.00,0.00,65.00
17-505654,3860,Title & Sub-Escrow,2.00,31.00,459.00,25.00,5.00,1.00,45.00
2301-202776,3860,Title and Escrow,0.00,48.00,529.00,24.00,10.00,1.00,45.00
17-505656,3860,Title & Sub-Escrow,1.00,52.00,967.00,24.00,32.00,0.00,28.00
17-505658,3860,Title Only,1.00,64.00,1074.00,22.00,35.00,0.00,108.00
17-505660,3863,Title Only,1.00,28.00,408.00,19.00,5.00,1.00,45.00
2301-202777,3863,Title and Escrow,0.00,72.00,706.00,25.00,19.00,1.00,45.00
17-505661,3860,Title Only,2.00,36.00,521.00,26.00,12.00,1.00,45.00
2301-202778,3860,Title and Escrow,0.00,88.00,1418.00,18.00,42.00,0.00,106.00
17-505662,3860,Title Only,1.00,43.00,749.00,22.00,13.00,1.00,45.00
17-505663,3863,Title & Sub-Escrow,1.00,69.00,1137.00,18.00,24.00,0.00,56.00
17-505664,3863,Title & Sub-Escrow,1.00,46.00,844.00,19.00,22.00,0.00,37.00
17-505665,3862,Title Only,2.00,32.00,483.00,20.00,9.00,1.00,45.00
17-505666,3862,Title & Sub-Escrow,2.00,55.00,830.00,22.00,19.00,0.00,100.00
17-505668,3863,Title & Full Escrow,1.00,67.00,491.00,21.00,9.00,1.00,45.00
17-505669,3863,Title Only,1.00,35.00,664.00,18.00,12.00,0.00,24.00
2301-202779,3863,Title and Escrow,1.00,74.00,1367.00,28.00,31.00,0.00,43.00
17-505671,3860,Property Report / O&E & Full Escrow,2.00,68.00,733.00,5.00,19.00,0.00,60.00
17-505672,3860,Property Report / O&E - Title Only,1.00,38.00,597.00,3.00,11.00,0.00,106.00
17-505673,3863,Property Report / O&E & Full Escrow,2.00,62.00,832.00,9.00,17.00,0.00,59.00
17-505674,3860,Title Only,1.00,36.00,542.00,25.00,14.00,1.00,45.00
17-505675,3860,Property Report / O&E - Title Only,1.00,38.00,617.00,3.00,16.00,0.00,64.00
17-505677,3860,Title Only,2.00,59.00,827.00,22.00,37.00,0.00,59.00
17-505678,3863,Title Only,1.00,27.00,647.00,19.00,12.00,0.00,10.00
17-505680,3863,Title Only,1.00,68.00,926.00,30.00,30.00,0.00,57.00
17-505681,3860,Property Report / O&E - Title Only,2.00,36.00,570.00,4.00,12.00,0.00,45.00
17-505683,3863,LCP - Title Only,1.00,35.00,608.00,4.00,10.00,0.00,23.00
17-505685,3860,Title Only,1.00,42.00,695.00,18.00,22.00,0.00,25.00
17-505686,3863,Property Report / O&E - Title Only,1.00,21.00,304.00,7.00,3.00,0.00,116.00
17-505687,3860,Property Report / O&E - Title Only,1.00,39.00,530.00,4.00,12.00,0.00,85.00
2301-202781,3863,Title and Escrow,2.00,60.00,1164.00,19.00,54.00,0.00,46.00
17-505689,3863,LCP - Title Only,1.00,34.00,609.00,4.00,8.00,0.00,23.00
17-505690,3862,Title Only,2.00,24.00,407.00,19.00,5.00,1.00,45.00
17-505691,3863,Title & Sub-Escrow,1.00,54.00,884.00,22.00,20.00,0.00,56.00
17-505692,3863,Property Report / O&E - Title Only,1.00,31.00,496.00,6.00,9.00,0.00,25.00
17-505693,3862,Title Only,1.00,35.00,764.00,18.00,23.00,0.00,59.00
17-505694,3860,Property Report / O&E - Title Only,1.00,39.00,592.00,4.00,13.00,0.00,37.00
17-505695,3863,Property Report / O&E - Title Only,1.00,32.00,544.00,6.00,9.00,0.00,30.00
17-505696,3863,Property Report / O&E - Title Only,1.00,32.00,536.00,6.00,9.00,0.00,59.00
17-505697,3863,LCP - Title Only,1.00,34.00,586.00,4.00,10.00,0.00,46.00
17-505698,3860,Property Report / O&E & Full Escrow,1.00,69.00,783.00,3.00,22.00,0.00,49.00
17-505699,3863,Property Report / O&E - Title Only,2.00,32.00,553.00,7.00,12.00,0.00,30.00
17-505700,3860,Property Report / O&E - Title Only,1.00,45.00,624.00,3.00,15.00,0.00,57.00
17-505701,3860,Property Report / O&E - Title Only,2.00,24.00,296.00,6.00,5.00,0.00,116.00
17-505702,3863,Title & Full Escrow,1.00,68.00,1014.00,21.00,24.00,0.00,78.00
2301-202784,3863,Title and Escrow,1.00,83.00,1470.00,27.00,40.00,0.00,25.00
2301-202785,3860,Title and Escrow,0.00,54.00,566.00,20.00,14.00,1.00,45.00
2301-202786,3863,Title and Escrow,1.00,68.00,1508.00,19.00,56.00,0.00,37.00
17-505703,3860,Property Report / O&E - Title Only,2.00,37.00,568.00,5.00,13.00,0.00,43.00
17-505707,3863,Title & Full Escrow,2.00,60.00,852.00,19.00,19.00,0.00,37.00
17-505708,3863,Title & Full Escrow,1.00,56.00,864.00,19.00,14.00,0.00,49.00
17-505710,3862,Title Only,1.00,43.00,694.00,18.00,20.00,0.00,21.00
17-505718,3863,Title Only,1.00,23.00,412.00,19.00,3.00,1.00,45.00
2301-202790,3860,Title and Escrow,0.00,83.00,1155.00,20.00,35.00,0.00,42.00
17-505719,3863,Title Only,1.00,26.00,456.00,16.00,5.00,1.00,45.00
17-505720,3860,Title Only,1.00,26.00,433.00,22.00,7.00,1.00,45.00
17-505721,3860,Title & Sub-Escrow,1.00,39.00,534.00,23.00,12.00,1.00,45.00
2301-202791,3860,Title and Escrow,1.00,53.00,508.00,19.00,9.00,1.00,45.00
2301-202792,3863,Title and Escrow,0.00,86.00,1709.00,30.00,56.00,0.00,23.00
17-505722,3863,Title Only,1.00,39.00,680.00,17.00,8.00,0.00,21.00
17-505723,3863,LCP - Title Only,1.00,24.00,334.00,4.00,4.00,1.00,45.00
17-505724,3862,Title Only,0.00,38.00,466.00,18.00,13.00,1.00,45.00
17-505725,3863,Title & Sub-Escrow,1.00,73.00,1131.00,21.00,32.00,0.00,78.00
17-505726,3863,Title & Sub-Escrow,2.00,29.00,412.00,21.00,6.00,1.00,45.00
2301-202794,3863,Title and Escrow,1.00,66.00,1155.00,16.00,41.00,0.00,49.00
17-505728,3863,Title & Sub-Escrow,1.00,58.00,844.00,18.00,24.00,0.00,36.00
17-505729,3863,Title & Full Escrow,1.00,100.00,1660.00,21.00,41.00,0.00,31.00
17-505731,3862,Title Only,1.00,37.00,670.00,18.00,12.00,0.00,72.00
2301-202795,3860,Title and Escrow,1.00,105.00,1944.00,22.00,79.00,0.00,66.00
17-505734,3863,LCP - Title Only,1.00,24.00,338.00,4.00,3.00,1.00,45.00
17-505736,3860,Title Only,1.00,58.00,925.00,25.00,29.00,0.00,106.00
17-505737,3863,Title & Sub-Escrow,1.00,55.00,864.00,19.00,15.00,0.00,79.00
17-505738,3863,Title & Full Escrow,1.00,77.00,1416.00,17.00,21.00,0.00,45.00
17-505739,3863,Title & Sub-Escrow,1.00,61.00,716.00,20.00,18.00,0.00,79.00
2301-202796,3860,Title and Escrow,1.00,76.00,1302.00,20.00,45.00,0.00,21.00
17-505740,3863,LCP - Title Only,1.00,35.00,593.00,4.00,9.00,0.00,25.00
2301-202797,3860,Title and Escrow,2.00,96.00,1564.00,24.00,58.00,0.00,35.00
2301-202798,3860,Title Only,1.00,74.00,1016.00,23.00,26.00,0.00,106.00
17-505741,3863,Title Only,1.00,44.00,728.00,20.00,17.00,0.00,31.00
2301-202799,3863,Title and Escrow,0.00,64.00,1353.00,18.00,38.00,0.00,43.00
17-505742,3863,LCP & Full Escrow,1.00,53.00,743.00,4.00,13.00,0.00,29.00
17-505743,3863,LCP - Title Only,1.00,35.00,686.00,4.00,15.00,0.00,38.00
17-505744,3863,Title & Full Escrow,1.00,66.00,414.00,20.00,8.00,1.00,45.00
17-505745,3863,Title & Full Escrow,0.00,48.00,467.00,1.00,7.00,1.00,45.00
17-505746,3863,LCP - Title Only,1.00,35.00,596.00,4.00,9.00,0.00,25.00
17-505747,3863,Title Only,0.00,63.00,952.00,19.00,25.00,0.00,87.00
17-505748,3863,LCP & Sub-Escrow,2.00,52.00,821.00,8.00,15.00,0.00,37.00
17-505749,3863,Title & Sub-Escrow,2.00,30.00,406.00,23.00,4.00,1.00,45.00
2301-202800,3860,Title and Escrow,1.00,69.00,1189.00,24.00,44.00,0.00,49.00
2301-202801,3863,Title and Escrow,0.00,88.00,1559.00,16.00,52.00,0.00,28.00
2301-202802,3860,Title and Escrow,1.00,79.00,1434.00,20.00,66.00,0.00,28.00
17-505751,3863,LCP - Title Only,1.00,23.00,325.00,6.00,4.00,1.00,45.00
17-505752,3863,Title Only,0.00,28.00,592.00,19.00,14.00,0.00,23.00
17-505753,3863,LCP - Title Only,1.00,37.00,595.00,4.00,12.00,0.00,17.00
2301-202803,3860,Title Only,1.00,64.00,1108.00,20.00,30.00,0.00,49.00
17-505754,3863,LCP - Title Only,1.00,45.00,717.00,4.00,12.00,0.00,24.00
17-505755,3863,LCP & Sub-Escrow,2.00,53.00,764.00,7.00,13.00,0.00,29.00
17-505756,3863,LCP & Sub-Escrow,2.00,48.00,739.00,6.00,18.00,0.00,39.00
17-505757,3863,Property Report / O&E - Title Only,2.00,26.00,516.00,9.00,11.00,0.00,18.00
2301-202804,3863,Title and Escrow,1.00,75.00,1787.00,20.00,57.00,0.00,35.00
2301-202805,3860,Title and Escrow,1.00,86.00,1152.00,24.00,33.00,1.00,45.00
17-505758,3863,LCP - Title Only,1.00,35.00,572.00,4.00,9.00,0.00,18.00
2301-202806,3863,Title and Escrow,0.00,80.00,1195.00,14.00,48.00,0.00,98.00
17-505759,3863,Title Only,2.00,23.00,341.00,19.00,6.00,1.00,45.00
2301-202807,3860,Title and Escrow,0.00,74.00,1197.00,24.00,41.00,0.00,32.00
17-505760,3863,Title & Full Escrow,1.00,77.00,1288.00,6.00,28.00,0.00,133.00
2301-202808,3860,Title and Escrow,0.00,109.00,1732.00,23.00,78.00,0.00,99.00
17-505761,3863,Title Only,1.00,43.00,736.00,17.00,12.00,0.00,25.00
17-505762,3863,Title & Full Escrow,1.00,41.00,413.00,18.00,5.00,1.00,45.00
17-505763,3860,Property Report / O&E - Title Only,2.00,28.00,479.00,11.00,11.00,0.00,91.00
17-505764,3863,Title & Full Escrow,2.00,39.00,411.00,20.00,4.00,1.00,45.00
17-505765,3863,LCP - Title Only,1.00,54.00,875.00,5.00,19.00,0.00,25.00
2301-202810,3863,Title and Escrow,1.00,45.00,465.00,17.00,9.00,1.00,45.00
2301-202812,3863,Title and Escrow,1.00,68.00,1265.00,19.00,31.00,0.00,31.00
17-505766,3863,Title Only,2.00,25.00,364.00,22.00,6.00,1.00,45.00
2301-202813,3863,Title and Escrow,0.00,68.00,1186.00,17.00,38.00,0.00,49.00
17-505767,3862,Title Only,1.00,45.00,853.00,19.00,31.00,0.00,29.00
17-505768,3860,Title Only,1.00,50.00,842.00,22.00,26.00,0.00,22.00
2301-202814,3863,Title and Escrow,2.00,73.00,1200.00,18.00,27.00,0.00,66.00
17-505770,3860,TSG - Trustee Sale Guarantee,3.00,19.00,496.00,20.00,10.00,0.00,20.00
17-505771,3860,TSG - Trustee Sale Guarantee,4.00,13.00,442.00,13.00,7.00,0.00,20.00
17-505772,3860,TSG - Trustee Sale Guarantee,3.00,25.00,592.00,17.00,12.00,0.00,20.00
2301-202816,3863,Title and Escrow,1.00,53.00,532.00,30.00,7.00,1.00,45.00
17-505773,3860,TSG - Trustee Sale Guarantee,3.00,20.00,538.00,12.00,10.00,0.00,20.00
17-505775,3860,Title Only,2.00,68.00,1093.00,26.00,35.00,0.00,132.00
17-505776,3860,Title Only,1.00,40.00,699.00,22.00,21.00,0.00,49.00
17-505777,3862,Title Only,0.00,51.00,1016.00,21.00,34.00,0.00,91.00
17-505779,3860,Title Only,1.00,60.00,987.00,23.00,30.00,0.00,127.00
17-505780,3860,Title Only,1.00,45.00,689.00,17.00,19.00,0.00,91.00
17-505781,3860,Title & Sub-Escrow,0.00,30.00,373.00,2.00,13.00,1.00,45.00
17-505782,3860,Title Only,1.00,70.00,1061.00,23.00,34.00,0.00,97.00
2301-202817,3863,Title and Escrow,0.00,78.00,1393.00,28.00,40.00,0.00,17.00
17-505784,3860,TSG - Trustee Sale Guarantee,4.00,24.00,620.00,14.00,14.00,0.00,20.00
17-505785,3863,TSG - Trustee Sale Guarantee,6.00,12.00,416.00,14.00,3.00,0.00,20.00
17-505786,3863,LCP & Full Escrow,1.00,61.00,1079.00,4.00,20.00,0.00,22.00
17-505787,3863,Title & Sub-Escrow,1.00,68.00,1199.00,23.00,28.00,0.00,29.00
17-505788,3860,Title & Sub-Escrow,2.00,77.00,1429.00,24.00,47.00,0.00,45.00
17-505789,3863,Title Only,1.00,23.00,401.00,17.00,4.00,1.00,45.00
17-505790,3862,Title Only,1.00,38.00,802.00,19.00,16.00,0.00,57.00
2301-202819,3860,Title and Escrow,0.00,54.00,545.00,21.00,11.00,1.00,45.00
17-505791,3860,Title & Sub-Escrow,1.00,60.00,1033.00,22.00,33.00,0.00,34.00
17-505793,3863,Title & Sub-Escrow,2.00,59.00,1071.00,21.00,30.00,0.00,69.00
17-505794,3860,Title Only,1.00,55.00,902.00,20.00,24.00,0.00,78.00
2301-202820,3863,Title and Escrow,2.00,68.00,1123.00,17.00,38.00,0.00,38.00
17-505795,3863,Title Only,1.00,48.00,775.00,20.00,21.00,0.00,44.00
17-505796,3863,Title Only,3.00,31.00,545.00,22.00,11.00,1.00,45.00
17-505797,3860,Property Report / O&E - Title Only,2.00,23.00,288.00,5.00,3.00,0.00,115.00
2301-202822,3860,Title and Escrow,0.00,68.00,1149.00,20.00,39.00,0.00,17.00
2301-202823,3863,Title and Escrow,1.00,47.00,477.00,17.00,9.00,1.00,45.00
2301-202824,3863,Title and Escrow,2.00,72.00,1309.00,20.00,45.00,0.00,35.00
17-505798,3863,Title & Full Escrow,1.00,59.00,962.00,17.00,16.00,0.00,28.00
2301-202825,3863,Title and Escrow,0.00,72.00,1082.00,28.00,28.00,0.00,29.00
17-505799,3863,LCP - Title Only,1.00,24.00,328.00,4.00,4.00,1.00,45.00
17-505800,3860,Property Report / O&E - Title Only,1.00,41.00,587.00,5.00,9.00,0.00,84.00
17-505801,3863,Title & Sub-Escrow,1.00,27.00,381.00,21.00,4.00,1.00,45.00
17-505802,3863,Title & Full Escrow,1.00,64.00,1068.00,17.00,24.00,0.00,20.00
17-505803,3860,Property Report / O&E - Title Only,2.00,38.00,578.00,4.00,12.00,0.00,92.00
17-505804,3862,Title Only,2.00,23.00,484.00,21.00,7.00,1.00,45.00
17-505805,3860,Property Report / O&E - Title Only,1.00,37.00,552.00,4.00,10.00,0.00,37.00
17-505806,3863,LCP - Title Only,0.00,39.00,701.00,4.00,13.00,0.00,21.00
2301-202829,3863,Title and Escrow,0.00,55.00,505.00,14.00,11.00,1.00,45.00
17-505808,3860,Property Report / O&E - Title Only,1.00,37.00,590.00,3.00,12.00,0.00,37.00
2301-202830,3860,Title and Escrow,0.00,80.00,1197.00,21.00,40.00,0.00,36.00
2301-202831,3863,Title and Escrow,1.00,50.00,580.00,20.00,17.00,1.00,45.00
17-505810,3860,Property Report / O&E - Title Only,1.00,38.00,565.00,3.00,12.00,0.00,64.00
17-505811,3860,Property Report / O&E - Title Only,1.00,37.00,555.00,3.00,11.00,0.00,28.00
17-505812,3863,LCP - Title Only,0.00,34.00,587.00,4.00,10.00,0.00,38.00
17-505813,3860,Property Report / O&E - Title Only,1.00,37.00,608.00,4.00,14.00,0.00,43.00
17-505814,3860,Property Report / O&E - Title Only,2.00,38.00,529.00,5.00,11.00,0.00,64.00
17-505815,3860,Property Report / O&E - Title Only,1.00,37.00,627.00,5.00,12.00,0.00,128.00
17-505816,3863,Property Report / O&E - Title Only,2.00,32.00,541.00,7.00,11.00,0.00,35.00
2301-202832,3863,Title and Escrow,0.00,69.00,1050.00,16.00,30.00,0.00,28.00
17-505817,3863,Property Report / O&E - Title Only,3.00,21.00,303.00,11.00,3.00,0.00,115.00
17-505818,3863,LCP & Full Escrow,1.00,53.00,803.00,4.00,14.00,0.00,20.00
2301-202833,3863,Title and Escrow,1.00,107.00,1345.00,16.00,41.00,0.00,28.00
17-505820,3863,Property Report / O&E - Title Only,1.00,21.00,286.00,6.00,3.00,0.00,115.00
17-505821,3860,Property Report / O&E - Title Only,2.00,37.00,612.00,4.00,13.00,0.00,42.00
2301-202836,3863,Title and Escrow,1.00,65.00,1102.00,16.00,39.00,0.00,41.00
17-505823,3860,Title Only,1.00,56.00,813.00,22.00,28.00,0.00,42.00
17-505824,3863,Title & Full Escrow,1.00,74.00,1117.00,18.00,32.00,0.00,43.00
2301-202838,3860,Title and Escrow,0.00,50.00,726.00,22.00,31.00,1.00,45.00
17-505826,3862,Title & Sub-Escrow,1.00,58.00,1070.00,22.00,26.00,0.00,37.00
17-505827,3863,Title Only,1.00,28.00,447.00,19.00,8.00,1.00,45.00
17-505828,3860,Title Only,0.00,23.00,228.00,2.00,2.00,1.00,45.00
17-505829,3863,Title & Sub-Escrow,1.00,29.00,381.00,19.00,5.00,1.00,45.00
17-505830,3860,Title Only,3.00,58.00,1007.00,26.00,28.00,0.00,70.00
2301-202840,3863,Title and Escrow,0.00,39.00,256.00,2.00,4.00,1.00,45.00
17-505831,3863,Title Only,2.00,54.00,1158.00,21.00,26.00,0.00,62.00
2301-202841,3860,Title and Escrow,1.00,103.00,1899.00,27.00,67.00,0.00,62.00
17-505832,3860,Title & Full Escrow,1.00,63.00,1115.00,22.00,21.00,0.00,38.00
2301-202842,3863,Title and Escrow,1.00,96.00,2019.00,22.00,101.00,0.00,49.00
17-505833,3863,Title & Full Escrow,2.00,94.00,1042.00,18.00,18.00,0.00,77.00
17-505834,3863,Title & Full Escrow,1.00,63.00,803.00,17.00,15.00,0.00,28.00
2301-202843,3860,Title and Escrow,1.00,51.00,677.00,23.00,10.00,1.00,45.00
17-505836,3863,Property Report / O&E - Title Only,1.00,26.00,418.00,6.00,8.00,0.00,22.00
2301-202845,3863,Title and Escrow,2.00,44.00,639.00,18.00,22.00,1.00,45.00
2301-202846,3863,Title and Escrow,0.00,75.00,1393.00,28.00,57.00,0.00,31.00
2301-202848,3860,Title and Escrow,1.00,62.00,801.00,10.00,21.00,1.00,45.00
17-505839,3863,Title & Full Escrow,1.00,96.00,1225.00,33.00,27.00,0.00,78.00
17-505840,3863,Property Report / O&E - Title Only,1.00,26.00,434.00,7.00,9.00,0.00,43.00
17-505841,3863,Title & Full Escrow,3.00,68.00,1019.00,35.00,19.00,0.00,49.00
17-505843,3863,LCP - Title Only,1.00,30.00,562.00,4.00,15.00,0.00,21.00
17-505845,3860,Title & Full Escrow,1.00,67.00,1101.00,21.00,24.00,0.00,49.00
17-505846,3863,LCP - Title Only,0.00,55.00,811.00,4.00,14.00,0.00,20.00
2301-202850,3863,Title and Escrow,1.00,58.00,1107.00,16.00,35.00,0.00,28.00
17-505847,3863,LCP - Title Only,2.00,35.00,627.00,5.00,10.00,0.00,20.00
2301-202852,3863,Title and Escrow,0.00,66.00,1226.00,17.00,55.00,0.00,127.00
17-505848,3863,LCP - Title Only,1.00,40.00,753.00,4.00,19.00,0.00,48.00
17-505849,3863,LCP - Title Only,1.00,36.00,598.00,4.00,11.00,0.00,29.00
2301-202854,3860,Title and Escrow,1.00,67.00,1245.00,21.00,39.00,0.00,41.00
17-505850,3863,Title & Full Escrow,0.00,60.00,1053.00,18.00,23.00,0.00,50.00
2301-202855,3863,Title and Escrow,1.00,73.00,1255.00,28.00,40.00,0.00,31.00
17-505851,3863,Property Report / O&E - Title Only,1.00,26.00,444.00,7.00,8.00,0.00,21.00
2301-202857,3863,Title and Escrow,1.00,80.00,1693.00,31.00,74.00,0.00,41.00
17-505852,3860,Title Only,0.00,48.00,799.00,18.00,19.00,0.00,24.00
17-505853,3863,LCP & Full Escrow,1.00,52.00,822.00,4.00,14.00,0.00,43.00
17-505854,3863,LCP - Title Only,1.00,40.00,603.00,4.00,12.00,0.00,35.00
2301-202858,3863,Title and Escrow,0.00,64.00,1248.00,16.00,29.00,0.00,64.00
17-505855,3863,Property Report / O&E - Title Only,1.00,21.00,293.00,7.00,4.00,0.00,115.00
2301-202860,3863,Title and Escrow,1.00,53.00,494.00,18.00,9.00,1.00,45.00
2301-202861,3863,Title and Escrow,1.00,66.00,1083.00,16.00,32.00,0.00,29.00
17-505856,3863,Title & Full Escrow,1.00,57.00,803.00,17.00,14.00,0.00,64.00
2301-202863,3860,Title and Escrow,1.00,70.00,1410.00,21.00,42.00,0.00,35.00
17-505857,3860,Title Only,1.00,28.00,384.00,21.00,11.00,1.00,45.00
2301-202864,3863,Title and Escrow,1.00,68.00,1104.00,18.00,38.00,0.00,41.00
17-505858,3863,Title & Full Escrow,1.00,73.00,1133.00,21.00,22.00,0.00,79.00
2301-202865,3863,Title and Escrow,2.00,65.00,1147.00,21.00,27.00,0.00,31.00
17-505859,3860,Title & Full Escrow,1.00,45.00,484.00,19.00,12.00,1.00,45.00
2301-202866,3863,Title and Escrow,0.00,69.00,1609.00,17.00,39.00,0.00,48.00
2301-202868,3863,Title and Escrow,0.00,68.00,1206.00,15.00,34.00,0.00,69.00
2301-202869,3863,Title and Escrow,0.00,101.00,1494.00,28.00,40.00,0.00,49.00
17-505861,3863,Title & Sub-Escrow,2.00,43.00,553.00,19.00,10.00,1.00,45.00
17-505862,3860,TSG - Trustee Sale Guarantee,5.00,19.00,478.00,18.00,8.00,0.00,19.00
2301-202870,3863,Title and Escrow,2.00,71.00,1214.00,21.00,42.00,0.00,23.00
17-505863,3863,Title & Sub-Escrow,1.00,28.00,370.00,17.00,5.00,1.00,45.00
17-505866,3863,TSG - Trustee Sale Guarantee,9.00,13.00,419.00,18.00,4.00,0.00,19.00
17-505867,3863,TSG - Trustee Sale Guarantee,2.00,12.00,433.00,8.00,3.00,0.00,19.00
17-505868,3863,TSG - Trustee Sale Guarantee,3.00,26.00,576.00,21.00,10.00,0.00,19.00
17-505869,3863,TSG - Trustee Sale Guarantee,1.00,12.00,374.00,10.00,3.00,0.00,19.00
17-505870,3863,TSG - Trustee Sale Guarantee,1.00,12.00,401.00,10.00,3.00,0.00,19.00
17-505871,3860,TSG - Trustee Sale Guarantee,1.00,13.00,415.00,10.00,4.00,0.00,19.00
17-505872,3863,TSG - Trustee Sale Guarantee,3.00,13.00,447.00,10.00,3.00,0.00,19.00
17-505873,3863,TSG - Trustee Sale Guarantee,2.00,21.00,498.00,13.00,8.00,0.00,19.00
17-505874,3860,Title Only,1.00,57.00,953.00,22.00,32.00,0.00,41.00
2301-202871,3863,Title and Escrow,2.00,68.00,1095.00,18.00,43.00,0.00,29.00
17-505875,3863,Title Only,0.00,32.00,468.00,18.00,7.00,1.00,45.00
2301-202872,3863,Title and Escrow,1.00,79.00,1408.00,18.00,57.00,0.00,47.00
17-505876,3863,Title & Full Escrow,1.00,58.00,926.00,20.00,13.00,0.00,64.00
17-505877,3863,Title & Full Escrow,1.00,59.00,1106.00,18.00,28.00,0.00,43.00
17-505878,3860,Title Only,3.00,24.00,346.00,21.00,6.00,1.00,45.00
2301-202873,3863,Title and Escrow,5.00,59.00,707.00,9.00,10.00,1.00,45.00
17-505879,3863,LCP - Title Only,1.00,35.00,593.00,4.00,8.00,0.00,22.00
17-505880,3863,Title Only,1.00,35.00,664.00,18.00,14.00,0.00,77.00
17-505881,3863,Title Only,1.00,49.00,810.00,18.00,21.00,0.00,105.00
17-505882,3860,Title Only,1.00,50.00,826.00,22.00,24.00,0.00,82.00
2301-202876,3863,Title and Escrow,1.00,73.00,1184.00,16.00,37.00,0.00,33.00
