sFileNumber,vCoverageType,vTransaction,nLoanAmount,nLiens,nActions,nAuditEntries,nTotalNotes,oCancelled,oNumDays
2301-200707,29189,Reverse Mortgage,72078.0,0.0,82.0,13.50833333333330,0.53333333333333,0.0,120.0
2301-200708,3863,Reverse Mortgage,255060.0,1.0,87.0,27.84000000000000,0.78000000000000,0.0,50.0
2301-200709,3863,Reverse Mortgage,346527.0,1.0,74.0,10.44628099173550,0.31404958677686,0.0,121.0
2301-200710,3860,Reverse Mortgage,89262.0,5.0,97.0,12.91549295774650,0.39436619718310,0.0,142.0
17-501427,3863,Refinance,10000.0,1.0,49.0,14.44897959183670,0.28571428571429,0.0,49.0
17-501428,3863,Refinance,75000.0,0.0,33.0,7.68888888888889,0.08888888888889,1.0,45.0
17-501429,3863,Refinance,75000.0,0.0,30.0,7.42222222222222,0.11111111111111,1.0,45.0
2301-200712,3863,Reverse Mortgage,412830.0,0.0,97.0,36.04545454545450,1.31818181818182,0.0,44.0
17-501430,3863,Refinance,30000.0,1.0,43.0,18.05263157894740,0.28947368421053,0.0,38.0
2301-200714,3863,Reverse Mortgage,85722.0,1.0,97.0,28.74509803921570,0.62745098039216,0.0,51.0
17-501431,3863,Refinance,50000.0,1.0,46.0,34.76470588235290,1.17647058823529,0.0,17.0
17-501434,3863,Refinance,590000.0,2.0,38.0,10.82222222222220,0.20000000000000,1.0,45.0
17-501435,3860,Refinance,118033.0,6.0,35.0,12.48888888888890,0.15555555555556,1.0,45.0
17-501436,3863,Refinance,60000.0,1.0,55.0,25.26666666666670,0.90000000000000,0.0,30.0
17-501437,3860,Uninsured (Info Products),125000.0,2.0,40.0,8.14925373134328,0.22388059701493,0.0,67.0
17-501438,3860,Uninsured (Info Products),160000.0,3.0,27.0,1.82122905027933,0.03351955307263,0.0,179.0
17-501439,3863,Uninsured (Info Products),176500.0,2.0,69.0,24.02777777777780,0.58333333333333,0.0,36.0
17-501440,3860,Uninsured (Info Products),84800.0,1.0,40.0,8.02985074626866,0.19402985074627,0.0,67.0
17-501441,3860,Uninsured (Info Products),35000.0,2.0,30.0,1.78770949720670,0.02234636871508,0.0,179.0
17-501442,3860,Uninsured (Info Products),60000.0,1.0,42.0,14.81578947368420,0.39473684210526,0.0,38.0
