sFileNumber,vCoverageType,vTransaction,nLoanAmount,nLiens,nActions,nAuditEntriesPerDay,nTotalNotesPerDay,oCancelled,oNumDays
17-501011,In-House without XML,Refinance,700000.00,2.00,40.00,10.77777778,0.244444444,1.00,45.00
2301-203710,In-House with Abstractor,Reverse Mortgage,54441.00,3.00,95.00,62.71428571,2.392857143,0.00,28.00
2301-201080,In-House without XML,Reverse Mortgage,425000.00,0.00,68.00,26.825,0.75,0.00,40.00
17-510384,In-House without XML,Refinance,30000.00,1.00,34.00,20.81481481,0.444444444,0.00,27.00
17-500131,In-House without XML,Refinance,308500.00,1.00,38.00,8.622222222,0.088888889,1.00,45.00
2301-204011,In-House without XML,Reverse Mortgage,625500.00,0.00,51.00,12.11111111,0.311111111,1.00,45.00
2301-202611,In-House with Abstractor,Reverse Mortgage,136250.00,0.00,84.00,27.10714286,0.964285714,0.00,56.00
17-501614,In-House without XML,Refinance,347450.00,1.00,67.00,11.58536585,0.353658537,0.00,82.00
17-512218,In-House without XML,Refinance,201000.00,1.00,37.00,21.7,0.4,0.00,40.00
2301-206111,In-House without XML,Reverse Mortgage,425000.00,1.00,66.00,16.04444444,0.488888889,1.00,45.00
17-501489,In-House with Abstractor,Uninsured (Info Products),20000.00,1.00,30.00,1.814606742,0.02247191,0.00,178.00
2301-203167,In-House without XML,Reverse Mortgage,313600.00,2.00,76.00,21.71186441,0.694915254,0.00,59.00
17-508801,In-House without XML,Refinance,125000.00,1.00,64.00,32.05714286,0.628571429,0.00,35.00
17-505826,In-House with XML,Refinance,243500.00,1.00,58.00,28.91891892,0.702702703,0.00,37.00
17-503856,In-House without XML,Refinance,150000.00,1.00,39.00,24.14285714,0.678571429,0.00,28.00
17-510267,In-House with Abstractor,Refinance,253383.00,1.00,67.00,20.11627907,0.511627907,0.00,43.00
17-501265,In-House without XML,Refinance,176000.00,1.00,67.00,19.83673469,0.693877551,0.00,49.00
17-511139,In-House without XML,Refinance,254300.00,1.00,48.00,9.492537313,0.194029851,0.00,67.00
17-505734,In-House without XML,Refinance,100000.00,1.00,24.00,7.511111111,0.066666667,1.00,45.00
2301-201177,In-House without XML,Reverse Mortgage,121880.00,1.00,70.00,153.6666667,3,0.00,9.00
2301-204540,Outsourced with In-House Recording,Reverse Mortgage,168708.50,0.00,69.00,28,0.934782609,0.00,46.00
2301-200737,In-House without XML,Reverse Mortgage,147600.00,0.00,81.00,76.35,2.25,0.00,20.00
17-505037,In-House without XML,Refinance,159200.00,2.00,58.00,29.05555556,0.527777778,0.00,36.00
2301-200694,In-House without XML,Reverse Mortgage,297982.50,1.00,94.00,46.47619048,1.928571429,0.00,42.00
17-508667,In-House with Abstractor,TSG,175048.77,5.00,22.00,492,8,0.00,0.00
17-515276,In-House without XML,Refinance,417000.00,1.00,66.00,34.5,0.75,0.00,28.00
17-509234,In-House with Abstractor,Refinance,143300.00,2.00,95.00,14.45918367,0.418367347,0.00,98.00
17-508177,In-House without XML,Uninsured (Info Products),70000.00,1.00,28.00,48.33333333,1.333333333,0.00,9.00
17-506078,In-House without XML,Refinance,204000.00,1.00,51.00,11.63235294,0.220588235,0.00,68.00
17-513300,In-House with Abstractor,Uninsured (Info Products),25000.00,1.00,37.00,17.3125,0.375,0.00,32.00
2301-205852,In-House without XML,Reverse Mortgage,178245.00,0.00,92.00,19.57142857,0.797619048,0.00,84.00
17-507705,In-House without XML,Refinance,451000.00,2.00,49.00,18.67567568,0.513513514,0.00,37.00
17-503413,In-House without XML,Refinance,10000.00,1.00,37.00,20.37931034,0.482758621,0.00,29.00
2301-205941,In-House without XML,Reverse Mortgage,171150.00,0.00,65.00,22.64,0.62,0.00,50.00
17-501549,In-House without XML,Refinance,24900.00,1.00,43.00,13.04166667,0.1875,0.00,48.00
2301-205059,In-House without XML,Reverse Mortgage,336000.00,1.00,91.00,39.07142857,1.119047619,0.00,42.00
17-512886,In-House with Abstractor,Uninsured (Info Products),212000.00,2.00,39.00,17.46875,0.34375,0.00,32.00
17-500566,In-House with Abstractor,Refinance,107500.00,1.00,75.00,11.26315789,0.385964912,0.00,114.00
17-504637,In-House without XML,Refinance,155000.00,2.00,27.00,8,0.088888889,1.00,45.00
17-510430,In-House without XML,Refinance,55000.00,1.00,31.00,14.97142857,0.314285714,0.00,35.00
17-507036,In-House without XML,Refinance,49000.00,1.00,35.00,21.17857143,0.5,0.00,28.00
17-510669,In-House without XML,Refinance,152500.00,2.00,83.00,14.93589744,0.397435897,0.00,78.00
17-507033,In-House without XML,Refinance,35100.00,3.00,35.00,24.03571429,0.75,0.00,28.00
17-508063,In-House with XML,Refinance,202500.00,1.00,64.00,16.36206897,0.327586207,0.00,58.00
17-508670,In-House with Abstractor,TSG,202695.79,2.00,32.00,645,17,0.00,0.00
2301-207482,In-House without XML,Reverse Mortgage,106689.00,1.00,67.00,23.10204082,1,0.00,49.00
2301-200996,In-House without XML,Reverse Mortgage,273546.00,1.00,70.00,31.08823529,1.294117647,0.00,34.00
17-515592,In-House without XML,Refinance,50000.00,1.00,39.00,27.94444444,0.333333333,0.00,18.00
17-502193,In-House without XML,Uninsured (Info Products),1.00,1.00,26.00,1.845238095,0.017857143,0.00,168.00
17-501015,In-House without XML,Uninsured (Info Products),30000.00,1.00,38.00,34.5,0.625,0.00,16.00
2301-203873,In-House with Abstractor,Reverse Mortgage,78668.00,0.00,82.00,36.23529412,1.588235294,0.00,34.00
2301-204539,In-House with Abstractor,Reverse Mortgage,32000.00,0.00,45.00,6.066666667,0.088888889,1.00,45.00
17-504827,In-House without XML,Refinance,75000.00,1.00,36.00,23.25,0.535714286,0.00,28.00
17-510945,In-House without XML,Refinance,200000.00,2.00,46.00,16.76086957,0.304347826,0.00,46.00
17-507648,In-House with Abstractor,TSG,243591.34,1.00,24.00,569,14,0.00,0.00
17-506929,In-House with Abstractor,Refinance,184000.00,1.00,88.00,34.96875,0.71875,0.00,32.00
