nLiens,nAuditEntries,nTotalNotes,oCancelled,oNumDays
2.00,522.00,11.00,1.00,45.00
0.00,407.00,4.00,1.00,45.00
1.00,961.00,17.00,0.00,46.00
1.00,1459.00,45.00,0.00,220.00
1.00,741.00,24.00,0.00,53.00
3.00,1817.00,67.00,0.00,28.00
2.00,592.00,21.00,0.00,34.00
1.00,623.00,15.00,0.00,63.00
1.00,344.00,5.00,0.00,196.00
1.00,1367.00,43.00,0.00,38.00
1.00,505.00,10.00,0.00,101.00
1.00,661.00,8.00,0.00,42.00
5.00,521.00,8.00,0.00,101.00
1.00,406.00,4.00,0.00,101.00
1.00,583.00,13.00,0.00,101.00
2.00,536.00,9.00,0.00,101.00
1.00,604.00,7.00,0.00,101.00
3.00,453.00,5.00,0.00,101.00
1.00,480.00,6.00,0.00,101.00
3.00,502.00,7.00,0.00,101.00
1.00,421.00,5.00,0.00,101.00
6.00,550.00,6.00,0.00,101.00
0.00,1140.00,35.00,0.00,46.00
1.00,446.00,5.00,0.00,101.00
2.00,530.00,9.00,0.00,101.00
2.00,437.00,7.00,0.00,101.00
0.00,442.00,7.00,1.00,45.00
1.00,724.00,14.00,0.00,56.00
1.00,828.00,15.00,0.00,42.00
1.00,1322.00,29.00,0.00,32.00
2.00,478.00,9.00,1.00,45.00
0.00,416.00,3.00,1.00,45.00
1.00,1131.00,35.00,0.00,69.00
1.00,596.00,9.00,0.00,101.00
1.00,748.00,9.00,0.00,20.00
1.00,582.00,19.00,1.00,45.00
0.00,1135.00,32.00,0.00,34.00
0.00,1543.00,49.00,0.00,26.00
2.00,811.00,19.00,1.00,45.00
1.00,632.00,6.00,0.00,19.00
1.00,588.00,11.00,0.00,69.00
1.00,1267.00,39.00,0.00,59.00
1.00,549.00,11.00,0.00,101.00
0.00,1307.00,36.00,0.00,35.00
1.00,898.00,17.00,0.00,45.00
4.00,561.00,15.00,1.00,45.00
0.00,1123.00,38.00,0.00,38.00
0.00,294.00,4.00,1.00,45.00
1.00,949.00,19.00,0.00,69.00
1.00,960.00,23.00,0.00,38.00
2.00,614.00,17.00,1.00,45.00
1.00,1120.00,18.00,0.00,33.00
1.00,583.00,14.00,0.00,42.00
1.00,593.00,11.00,0.00,42.00
1.00,1162.00,21.00,0.00,35.00
1.00,1270.00,31.00,0.00,35.00
1.00,1568.00,42.00,0.00,28.00
1.00,657.00,15.00,0.00,47.00
2.00,325.00,3.00,0.00,196.00
2.00,1109.00,21.00,0.00,111.00
1.00,1141.00,18.00,0.00,19.00
1.00,833.00,19.00,0.00,42.00
1.00,909.00,14.00,0.00,56.00
0.00,818.00,16.00,0.00,40.00
1.00,378.00,5.00,1.00,45.00
1.00,385.00,5.00,1.00,45.00
1.00,627.00,12.00,0.00,41.00
0.00,361.00,5.00,1.00,45.00
1.00,915.00,21.00,1.00,45.00
1.00,527.00,8.00,1.00,45.00
1.00,692.00,16.00,0.00,53.00
0.00,1259.00,25.00,0.00,31.00
1.00,721.00,8.00,0.00,87.00
1.00,624.00,21.00,1.00,45.00
1.00,627.00,15.00,0.00,46.00
1.00,599.00,10.00,0.00,47.00
0.00,654.00,9.00,1.00,45.00
0.00,687.00,12.00,1.00,45.00
0.00,328.00,5.00,1.00,45.00
1.00,675.00,13.00,0.00,68.00
1.00,579.00,8.00,1.00,45.00
2.00,567.00,9.00,1.00,45.00
1.00,550.00,7.00,1.00,45.00
1.00,572.00,9.00,1.00,45.00
1.00,508.00,7.00,1.00,45.00
1.00,492.00,7.00,1.00,45.00
1.00,532.00,7.00,1.00,45.00
1.00,885.00,32.00,0.00,52.00
0.00,1494.00,45.00,0.00,29.00
1.00,1075.00,31.00,0.00,60.00
1.00,931.00,24.00,0.00,35.00
3.00,600.00,11.00,1.00,45.00
0.00,1222.00,39.00,0.00,30.00
1.00,1808.00,68.00,0.00,65.00
1.00,517.00,7.00,0.00,98.00
1.00,778.00,10.00,0.00,22.00
1.00,1204.00,31.00,0.00,23.00
2.00,423.00,7.00,0.00,98.00
1.00,1361.00,35.00,0.00,44.00
3.00,521.00,7.00,0.00,98.00
3.00,406.00,5.00,0.00,98.00
2.00,1106.00,25.00,0.00,64.00
1.00,427.00,5.00,0.00,98.00
0.00,1879.00,44.00,0.00,51.00
1.00,1017.00,33.00,0.00,32.00
0.00,268.00,4.00,1.00,45.00
1.00,801.00,21.00,0.00,32.00
2.00,984.00,29.00,0.00,98.00
1.00,836.00,22.00,0.00,32.00
1.00,482.00,11.00,1.00,45.00
2.00,809.00,22.00,0.00,32.00
0.00,1427.00,43.00,0.00,72.00
2.00,493.00,7.00,1.00,45.00
1.00,644.00,17.00,0.00,30.00
19.00,528.00,5.00,0.00,98.00
2.00,984.00,21.00,0.00,39.00
5.00,536.00,7.00,0.00,98.00
1.00,403.00,5.00,0.00,98.00
0.00,1461.00,47.00,0.00,23.00
1.00,1043.00,22.00,0.00,42.00
0.00,1595.00,49.00,0.00,35.00
1.00,594.00,12.00,0.00,156.00
3.00,1785.00,51.00,0.00,39.00
0.00,490.00,9.00,1.00,45.00
1.00,1155.00,28.00,0.00,42.00
2.00,1499.00,36.00,0.00,129.00
1.00,1037.00,22.00,0.00,39.00
1.00,1102.00,24.00,0.00,63.00
1.00,1180.00,24.00,0.00,218.00
1.00,709.00,15.00,0.00,39.00
1.00,908.00,15.00,0.00,60.00
1.00,1154.00,23.00,0.00,88.00
2.00,1129.00,28.00,0.00,95.00
0.00,1776.00,41.00,0.00,44.00
1.00,937.00,14.00,0.00,42.00
1.00,1867.00,45.00,0.00,25.00
0.00,276.00,3.00,1.00,45.00
1.00,927.00,15.00,0.00,66.00
1.00,915.00,16.00,0.00,39.00
3.00,1190.00,22.00,0.00,71.00
1.00,734.00,15.00,1.00,45.00
1.00,560.00,10.00,0.00,24.00
1.00,358.00,4.00,0.00,193.00
1.00,2072.00,56.00,0.00,29.00
1.00,1035.00,28.00,0.00,45.00
1.00,1716.00,52.00,0.00,53.00
0.00,1628.00,49.00,0.00,42.00
3.00,711.00,16.00,1.00,45.00
1.00,409.00,5.00,1.00,45.00
1.00,1409.00,47.00,0.00,23.00
0.00,1355.00,32.00,0.00,29.00
2.00,1314.00,53.00,0.00,86.00
2.00,1431.00,61.00,0.00,70.00
2.00,897.00,45.00,0.00,52.00
6.00,490.00,7.00,0.00,218.00
2.00,892.00,28.00,1.00,45.00
1.00,1083.00,25.00,0.00,74.00
1.00,894.00,22.00,1.00,45.00
1.00,1540.00,44.00,0.00,53.00
0.00,1556.00,38.00,0.00,36.00
1.00,1586.00,42.00,0.00,37.00
0.00,1475.00,46.00,0.00,30.00
0.00,1559.00,36.00,0.00,28.00
2.00,1622.00,59.00,0.00,161.00
1.00,1491.00,49.00,0.00,105.00
0.00,1720.00,53.00,0.00,51.00
