sFileNumber,vCoverageType,vProduct,nLoanAmount,nLienAmounts,nEquity,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
2301-205676,3863,Title and Escrow,265000.00,240000.00,25000.00,2.00,74.00,1437.00,31.00,49.00,1.00,45.00
2301-205678,3860,Title and Escrow,98350.00,50000.00,48350.00,1.00,164.00,1943.00,27.00,78.00,0.00,44.00
2301-205679,3860,Title and Escrow,118035.00,55962.00,62073.00,1.00,82.00,1567.00,21.00,44.00,0.00,41.00
2301-205687,3863,Title and Escrow,126483.50,130452.00,-3968.50,2.00,70.00,1582.00,20.00,46.00,0.00,29.00
2301-205688,3863,Title and Escrow,143310.00,130000.00,13310.00,1.00,78.00,1400.00,7.00,34.00,0.00,29.00
2301-205703,3863,Title and Escrow,309622.50,330000.00,-20377.50,1.00,78.00,1658.00,20.00,43.00,0.00,55.00
2301-205705,3863,Title and Escrow,275010.00,0.00,275010.00,0.00,85.00,1408.00,17.00,40.00,0.00,41.00
2301-205706,3863,Title and Escrow,145000.00,0.00,145000.00,0.00,52.00,794.00,15.00,17.00,1.00,45.00
2301-205707,3863,Title and Escrow,282150.00,0.00,282150.00,0.00,70.00,1366.00,16.00,33.00,0.00,23.00
17-511310,3863,Title Only,232000.00,238200.00,-6200.00,1.00,48.00,709.00,24.00,14.00,0.00,55.00
2301-205711,3860,Title and Escrow,55544.00,80204.00,-24660.00,2.00,114.00,1363.00,18.00,52.00,0.00,29.00
17-511314,3863,LCP - Title Only,25000.00,267443.00,-242443.00,1.00,35.00,630.00,4.00,7.00,0.00,51.00
17-511315,3863,Title & Full Escrow,65100.00,162500.00,-97400.00,2.00,41.00,383.00,19.00,4.00,1.00,45.00
17-511317,3862,Title & Sub-Escrow,351700.00,406000.00,-54300.00,1.00,55.00,887.00,18.00,18.00,0.00,30.00
2301-205714,3863,Title and Escrow,56210.00,35000.00,21210.00,1.00,77.00,1721.00,28.00,44.00,0.00,29.00
2301-205715,3860,Title and Escrow,169857.00,100000.00,69857.00,1.00,79.00,1191.00,24.00,43.00,0.00,69.00
